tmy_month,clean_ac_kwh_kwp,soiled_ac_kwh_kwp,loss_kwh_kwp,rain_mm,scenario,month
2023-10-01 00:00:00+09:00,134.32117779001442,127.64248386350681,6.678693926507609,20.0,tilted_periodic_rain,10
2023-11-01 00:00:00+09:00,113.64242866991444,107.90437846077198,5.738050209142457,20.0,tilted_periodic_rain,11
2023-12-01 00:00:00+09:00,92.96773079428964,88.25434577791604,4.713385016373593,30.0,tilted_periodic_rain,12
2023-01-01 00:00:00+09:00,56.58759638256744,55.62260213542765,0.9649942471397925,0.0,vertical_no_rain,1
2023-02-01 00:00:00+09:00,70.36851386726738,68.26397664023098,2.104537227036402,0.0,vertical_no_rain,2
2023-03-01 00:00:00+09:00,97.93463675342748,93.84717268213103,4.08746407129645,0.0,vertical_no_rain,3
2023-04-01 00:00:00+09:00,113.32009524285874,107.35489403124275,5.965201211615999,0.0,vertical_no_rain,4
2023-05-01 00:00:00+09:00,92.74583411863944,86.84418234222346,5.90165177641597,0.0,vertical_no_rain,5
2023-06-01 00:00:00+09:00,92.33813704546016,85.45659379091273,6.881543254547422,0.0,vertical_no_rain,6
2023-07-01 00:00:00+09:00,73.65799367736481,67.35144107016644,6.306552607198368,0.0,vertical_no_rain,7
2023-08-01 00:00:00+09:00,79.17990685192535,71.64800029167505,7.531906560250312,0.0,vertical_no_rain,8
2023-09-01 00:00:00+09:00,81.4190423599775,72.93743853731418,8.481603822663324,0.0,vertical_no_rain,9
2023-10-01 00:00:00+09:00,74.05686262780284,65.67179563325364,8.385066994549202,0.0,vertical_no_rain,10
2023-11-01 00:00:00+09:00,57.30462535585029,50.27240774044438,7.0322176154059095,0.0,vertical_no_rain,11
2023-12-01 00:00:00+09:00,45.21287455585997,39.23433201372148,5.978542542138489,0.0,vertical_no_rain,12
2023-01-01 00:00:00+09:00,56.58759638256744,55.68314982209028,0.904446560477163,20.0,vertical_periodic_rain,1
2023-02-01 00:00:00+09:00,70.36851386726738,68.57921550001167,1.7892983672557066,20.0,vertical_periodic_rain,2
2023-03-01 00:00:00+09:00,97.93463675342748,94.6623705768468,3.2722661765806826,20.0,vertical_periodic_rain,3
2023-04-01 00:00:00+09:00,113.32009524285874,108.74940010518765,4.570695137671108,20.0,vertical_periodic_rain,4
2023-05-01 00:00:00+09:00,92.74583411863944,88.37557697155262,4.370257147086815,20.0,vertical_periodic_rain,5
2023-06-01 00:00:00+09:00,92.33813704546016,87.39973149150197,4.938405553958189,20.0,vertical_periodic_rain,6
2023-07-01 00:00:00+09:00,73.65799367736481,69.2692777815503,4.388715895814515,30.0,vertical_periodic_rain,7
2023-08-01 00:00:00+09:00,79.17990685192535,74.06167334464698,5.118233507278382,20.0,vertical_periodic_rain,8
2023-09-01 00:00:00+09:00,81.4190423599775,75.7762894105955,5.642752949382005,20.0,vertical_periodic_rain,9
2023-10-01 00:00:00+09:00,74.05686262780284,68.58840677832457,5.468455849478282,20.0,vertical_periodic_rain,10
2023-11-01 00:00:00+09:00,57.30462535585029,52.80714924400693,4.4974761118433655,20.0,vertical_periodic_rain,11
2023-12-01 00:00:00+09:00,45.21287455585997,41.46454742743411,3.7483271284258555,30.0,vertical_periodic_rain,12
