design_id,profile,case_id,pv_kwp,ess_nominal_kwh,ess_pcs_kw,horizon_years,cost_multiplier,tariff,recovery_fraction,capex_krw,present_total_cost_krw,grid_only_present_cost_krw,npv_saving_vs_grid_krw,cumulative_user_solar_fraction,last_year_user_solar_fraction,minimum_annual_user_solar_fraction,cumulative_battery_user_kwh,discounted_user_load_kwh,net_present_cost_per_discounted_user_kwh,terminal_residual_proxy_krw,planning_pv_area_m2,minimum_solar_fraction_target,selection,feasible_in_grid
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,6,1.0,base_assumed,0.0,31000000.0,43173208.47561692,33347296.881947123,-9825911.593669794,0.6408985668494036,0.6380507602199776,0.6380507602199776,0.0,185262.76045526177,233.03770476874985,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,6,1.0,base_assumed,0.0,31000000.0,43173208.47561692,33347296.881947123,-9825911.593669794,0.6408985668494036,0.6380507602199776,0.6380507602199776,0.0,185262.76045526177,233.03770476874985,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,6,1.0,base_assumed,0.0,59250000.0,64430663.97543798,33347296.881947123,-31083367.09349085,0.8577807284419315,0.8491554641779611,0.8491554641779611,31189.03355603012,185262.76045526177,347.7798982218935,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,6,1.0,base_assumed,0.0,108000000.0,91119518.29365136,33347296.881947123,-57772221.41170425,0.8065355897983318,0.805798758831481,0.805798758831481,0.0,185262.76045526177,491.8393640995941,0.0,861.9,0.8,no_ess,True
daytime_M03_pv50_e50_p12.5,daytime,M03,50.0,50.0,12.5,6,1.0,base_assumed,0.0,102920000.0,98503954.41651995,33347296.881947123,-65156657.53457285,0.9534967784270888,0.9501151936919694,0.9501151936919694,38762.72939541296,185262.76045526177,531.69862186258,0.0,574.6,0.95,any,True
,daytime,,,,,6,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,7,1.0,base_assumed,0.0,0.0,38016473.220907554,38016473.22090202,-5.535781383514404e-06,0.0,0.0,0.0,0.0,211202.6290050112,180.00000000002623,0.0,0.0,0.0,any,True
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,7,1.0,base_assumed,0.0,0.0,38016473.220907554,38016473.22090202,-5.535781383514404e-06,0.0,0.0,0.0,0.0,211202.6290050112,180.00000000002623,0.0,0.0,0.0,no_ess,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,7,1.0,base_assumed,0.0,31000000.0,44639816.25278728,38016473.22090202,-6623343.031885259,0.6403261814156351,0.6368918688130236,0.6368918688130236,0.0,211202.6290050112,211.3601353500581,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,7,1.0,base_assumed,0.0,31000000.0,44639816.25278728,38016473.22090202,-6623343.031885259,0.6403261814156351,0.6368918688130236,0.6368918688130236,0.0,211202.6290050112,211.3601353500581,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,7,1.0,base_assumed,0.0,59250000.0,64744465.52423243,38016473.22090202,-26727992.30333041,0.8560093015808756,0.8453807404145401,0.8453807404145401,36026.96807542373,211202.6290050112,306.55141855595105,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,7,1.0,base_assumed,0.0,108000000.0,87826316.08838212,38016473.22090202,-49809842.86748011,0.8063872670299932,0.8054973304199617,0.8054973304199617,0.0,211202.6290050112,415.83912332027967,0.0,861.9,0.8,no_ess,True
daytime_M01_pv40_e100_p25,daytime,M01,40.0,100.0,25.0,7,1.0,base_assumed,0.0,107000000.0,108970861.90455396,38016473.22090202,-70954388.68365192,0.9654813486488414,0.9616813160267906,0.9616813160267906,54625.17679834172,211202.6290050112,515.9540978155551,0.0,459.68000000000006,0.95,any,True
,daytime,,,,,7,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,8,1.0,base_assumed,0.0,0.0,42463307.82943668,42463307.82943049,-6.183981895446777e-06,0.0,0.0,0.0,0.0,235907.26571905828,180.0000000000262,0.0,0.0,0.0,any,True
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,8,1.0,base_assumed,0.0,0.0,42463307.82943668,42463307.82943049,-6.183981895446777e-06,0.0,0.0,0.0,0.0,235907.26571905828,180.0000000000262,0.0,0.0,0.0,no_ess,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,8,1.0,base_assumed,0.0,31000000.0,46047565.790462114,42463307.82943049,-3584257.961031623,0.6397508514662212,0.6357235418203239,0.6357235418203239,0.0,235907.26571905828,195.19350389699363,0.0,229.84000000000003,0.5,any,True
